City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Gorontalo,ID,77.63,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
382,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
383,Tessalit,ML,82.94,overcast clouds,20.1986,1.0114,
388,Russell,US,77.0,broken clouds,32.3502,-85.1999,Macs
390,Kailua,US,82.4,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
394,Urucui,BR,81.01,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
397,Ankpa,NG,78.48,overcast clouds,7.3706,7.6253,AA Suites
402,Poya,NC,77.29,broken clouds,-21.35,165.15,
403,Luwuk,ID,80.38,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
414,Iquitos,PE,80.6,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
417,Majene,ID,77.68,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
418,Douglas,US,84.2,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
420,Noumea,NC,80.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
421,Coahuayana,MX,84.2,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
422,Namatanai,PG,83.89,scattered clouds,-3.6667,152.4333,Namatanai Hotel
424,Mirabad,AF,77.99,light rain,30.4362,61.8383,
425,Rincon,US,84.2,scattered clouds,32.296,-81.2354,Days Inn Rincon
431,Lucea,JM,80.6,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
434,Vaitape,PF,80.28,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
436,Butterworth,MY,77.0,scattered clouds,5.3991,100.3638,Cititel Penang
447,Kalmunai,LK,78.6,broken clouds,7.4167,81.8167,VS Villa
448,Champerico,GT,86.0,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
451,Elat,IL,84.2,clear sky,29.5581,34.9482,Club Hotel Eilat
453,Ometepec,MX,86.36,clear sky,16.6833,-98.4167,MH Grand Hotel - Ometepec
455,Mount Pleasant,US,81.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
456,Vicente Guerrero,MX,78.8,few clouds,19.1194,-98.1708,Churros Inn
458,Mana,GF,75.31,overcast clouds,5.6592,-53.7767,LE SAMANA
459,Kiunga,PG,78.66,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
462,Cacu,BR,77.7,overcast clouds,-18.5567,-51.1308,Império Hotel
463,Quebradillas,PR,77.0,broken clouds,18.4738,-66.9385,Villa Abby B&B
466,Ocos,GT,86.0,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
471,Bara,NG,85.96,broken clouds,10.3744,10.7288,
486,Santa Rosa,PH,84.0,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
488,Alibag,IN,84.2,haze,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
494,Libertad,PH,76.28,broken clouds,8.9442,125.5019,Almont City Hotel
496,Mansa,IN,82.6,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
498,Cairns,AU,78.01,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
503,Gaoua,BF,86.4,broken clouds,10.2992,-3.2508,
505,Bitung,ID,78.8,few clouds,1.4451,125.1824,K2 Lembeh
