City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,Bereda,43.2686,-7.5406,50.0,100,34,1.99,ES,2021-04-20 20:20:17
196,Ponta Do Sol,32.6667,-17.1,62.01,70,92,1.99,PT,2021-04-20 20:20:17
197,Havre-Saint-Pierre,50.2334,-63.5986,42.8,75,90,6.91,CA,2021-04-20 20:20:18
198,Sorland,67.667,12.6934,44.6,87,75,16.11,NO,2021-04-20 20:20:18
199,Tasiilaq,65.6145,-37.6368,30.67,73,100,4.25,GL,2021-04-20 20:20:18
200,Natal,-5.795,-35.2094,82.4,74,20,9.22,BR,2021-04-20 20:20:19
201,Haines Junction,60.7522,-137.5108,51.8,37,98,5.75,CA,2021-04-20 20:20:19
202,Krasnyy Kholm,58.0607,37.1203,41.41,74,99,12.35,RU,2021-04-20 20:20:19
203,Udgir,18.3833,77.1167,87.8,31,83,13.15,IN,2021-04-20 20:20:20
204,Tarata,-17.6167,-66.0167,82.4,20,20,5.75,BO,2021-04-20 20:20:20
205,High Prairie,55.4334,-116.4858,59.0,26,5,9.22,CA,2021-04-20 20:20:04
206,Mount Isa,-20.7333,139.5,73.4,25,6,10.36,AU,2021-04-20 20:20:20
207,Tigre,-34.426,-58.5796,75.2,64,0,11.5,AR,2021-04-20 20:20:21
208,Ribeira Grande,38.5167,-28.7,64.4,88,40,16.11,PT,2021-04-20 20:20:21
209,Sur,22.5667,59.5289,82.9,38,7,10.56,OM,2021-04-20 20:20:21
210,Tecoanapa,16.5167,-98.75,85.15,48,50,10.49,MX,2021-04-20 20:20:22
211,Taltal,-25.4,-70.4833,64.81,71,83,7.56,CL,2021-04-20 20:20:22
212,Najran,17.4924,44.1277,73.4,21,0,1.92,SA,2021-04-20 20:20:22
213,Delijan,33.9905,50.6838,72.97,23,45,2.04,IR,2021-04-20 20:20:22
214,Charcas,23.1333,-101.1167,77.56,10,0,10.56,MX,2021-04-20 20:20:23
215,Caravelas,-17.7125,-39.2481,78.4,75,97,5.17,BR,2021-04-20 20:19:39
216,Buraydah,26.326,43.975,77.0,36,0,3.44,SA,2021-04-20 20:20:23
217,Chokurdakh,70.6333,147.9167,15.62,99,99,3.87,RU,2021-04-20 20:20:24
218,Oranjemund,-28.55,16.4333,60.98,91,5,3.33,NA,2021-04-20 20:20:24
219,Calabozo,8.9242,-67.4293,97.18,19,70,7.36,VE,2021-04-20 20:20:24
